Name,Award,Gender,award year,award age,Birth Country,Birth Continent,award country,award continent
Patrick Maynard Stuart Blackett,Physics,M,1948,52,United Kingdom,Europe,United Kingdom,Europe
Lord (John) Boyd Orr of Brechin,Peace,M,1949,70,Scotland,North America,United Kingdom,Europe
William Faulkner,Literature,M,1949,53,USA,North America,USA,North America
Antonio Caetano de Abreu Freire Egas Moniz,Physiology or Medicine,M,1949,76,Portugal,Europe,Portugal,Europe
Walter Rudolf Hess,Physiology or Medicine,M,1949,69,Switzerland,Europe,Switzerland,Europe
William Francis Giauque,Chemistry,M,1949,55,Canada,North America,USA,North America
Hideki Yukawa,Physics,M,1949,43,Japan,Asia,USA,North America
Ralph Bunche,Peace,M,1950,47,USA,North America,USA,North America
Earl (Bertrand Arthur William) Russell,Literature,M,1950,79,United Kingdom,Europe,United Kingdom,Europe
Edward Calvin Kendall,Physiology or Medicine,M,1950,65,USA,North America,USA,North America
Tadeus Reichstein,Physiology or Medicine,M,1950,54,Poland,Europe,Switzerland,Europe
Philip Showalter Hench,Physiology or Medicine,M,1950,55,USA,North America,USA,North America
Otto Paul Hermann Diels,Chemistry,M,1950,75,Germany,Europe,Germany,Europe
Kurt Alder,Chemistry,M,1950,49,Poland,Europe,Germany,Europe
Cecil Frank Powell,Physics,M,1950,48,United Kingdom,Europe,United Kingdom,Europe
Lurope Kingd,Peace,M,1951,73,France,Europe,France,Europe
Puropebel Peace Prize,Literature,M,1951,61,Sweden,Europe,Sweden,Europe
Max Theiler,Physiology or Medicine,M,1951,53,South Africa,Africa,USA,North America
Edwin Mattison McMillan,Chemistry,M,1951,45,USA,North America,USA,North America
Glenn Theodore Seaborg,Chemistry,M,1951,40,USA,North America,USA,North America
Sir John Douglas Cockcroft,Physics,M,1951,55,United Kingdom,Europe,United Kingdom,Europe
Ernest Thomas Sinton Walton,Physics,M,1951,49,Ireland,Europe,Ireland,Europe
Albert Schweitzer,Peace,M,1952,78,France,Europe,France,Europe
Franpebel Peace ,Literature,M,1952,68,France,Europe,France,Europe
Selman Abraham Waksman,Physiology or Medicine,M,1952,65,Ukraine,Europe,USA,North America
Archer John Porter Martin,Chemistry,M,1952,43,United Kingdom,Europe,United Kingdom,Europe
Richard Laurence Millington Synge,Chemistry,M,1952,39,United Kingdom,Europe,United Kingdom,Europe
Felix Bloch,Physics,M,1952,48,Switzerland,Europe,USA,North America
Edward Mills Purcell,Physics,M,1952,41,USA,North America,USA,North America
George Catlett Marshall,Peace,M,1953,74,USA,North America,USA,North America
Sir Winston Leonard Spencer Churchill,Literature,M,1953,80,United Kingdom,Europe,United Kingdom,Europe
Fritz Albert Lipmann,Physiology or Medicine,M,1953,55,Russia,Europe,Russia,Europe
Hans Adolf Krebs,Physiology or Medicine,M,1953,53,Germany,Europe,United Kingdom,Europe
Hermann Staudinger,Chemistry,M,1953,73,Germany,Europe,Germany,Europe
Frits Zernike,Physics,M,1953,66,Netherlands,Europe,Netherlands,Europe
Office of the United Nations High Commissioner for Refugees,Peace,Org,1954,4,Switzerland,Europe,Switzerland,Europe
Ernest Miller Hemingway,Literature,M,1954,56,USA,North America,USA,North America
John Franklin Enders,Physiology or Medicine,M,1954,58,USA,North America,USA,North America
Thomas Huckle Weller,Physiology or Medicine,M,1954,40,USA,North America,USA,North America
Frederick Chapman Robbins,Physiology or Medicine,M,1954,39,USA,North America,USA,North America
Linus Carl Pauling,Chemistry,M,1954,54,USA,North America,USA,North America
Walther Bothe,Physics,M,1954,64,Germany,Europe,Germany,Europe
Max Born,Physics,M,1954,73,Poland,Europe,United Kingdom,Europe
Hallde Kingdome in Phy,Literature,M,1955,54,Iceland,Europe,Iceland,Europe
Axel Hugo Theodor Theorell,Physiology or Medicine,M,1955,53,Sweden,Europe,Sweden,Europe
Vincent du Vigneaud,Chemistry,M,1955,55,USA,North America,USA,North America
Polykarp Kusch,Physics,M,1955,45,France,Europe,USA,North America
Willis Eugene Lamb,Physics,M,1955,43,USA,North America,USA,North America
Juan Ramericaze in,Literature,M,1956,76,Spain,Europe,Puerto Rico,North America
Andrh Americaze in Lite,Physiology or Medicine,M,1956,62,France,Europe,USA,North America
Werner Forssmann,Physiology or Medicine,M,1956,53,Germany,Europe,Germany,Europe
Dickinson W. Richards,Physiology or Medicine,M,1956,62,USA,North America,USA,North America
Sir Cyril Norman Hinshelwood,Chemistry,M,1956,60,United Kingdom,Europe,United Kingdom,Europe
Nikolay Nikolaevich Semenov,Chemistry,M,1956,61,Russia,Europe,Russia,Europe
William Bradford Shockley,Physics,M,1956,47,United Kingdom,Europe,USA,North America
John Bardeen,Physics,M,1956,49,USA,North America,USA,North America
Walter Houser Brattain,Physics,M,1956,55,China,Asia,USA,North America
Lester Bowles Pearson,Peace,M,1957,61,Canada,North America,Canada,North America
Albert Camus,Literature,M,1957,45,Algeria,Europe,France,Europe
Daniel Bovet,Physiology or Medicine,M,1957,51,Switzerland,Europe,Italy,Europe
Lord (Alexander R.) Todd,Chemistry,M,1957,51,Scotland,Europe,United Kingdom,Europe
Chen Ning Yang,Physics,M,1957,36,China,Asia,USA,North America
